datum name,region of use,datum code,ellipsoid code,dx,dy,dz,ex,ey,ez,sat,epsg
S-42 (Pulkovo 1942),Czechoslavakia,,KA,26,-121,-78,3,3,2,6,
S-42 (Pulkovo 1942),Latvia,,KA,24,-124,-82,2,2,2,5,
S-42 (Pulkovo 1942),Kazakhstan,,KA,15,-130,-84,25,25,25,2,
S-42 (Pulkovo 1942),Albania,,KA,24,-130,-92,3,3,3,7,
S-42 (Pulkovo 1942),Romania,,KA,28,-121,-77,3,5,3,4,
Ireland 1965,Ireland,,AM,506,-122,611,3,3,3,7,unknown
South Asia,Singapore,,FA,7,-10,-26,25,25,25,1,
South American 1969,Argentina,,SA,-62,-1,-37,5,5,5,10,
South American 1969,Bolivia,,SA,-61,2,-48,15,15,15,4,
South American 1969,Brazil,,SA,-60,-2,-41,3,5,5,22,
South American 1969,Chile,,SA,-75,-1,-44,15,8,11,9,
South American 1969,Colombia,,SA,-44,6,-36,6,6,5,7,
South American 1969,Ecuador,,SA,-48,3,-44,3,3,3,11,
South American 1969,Ecuador (Baltra; Galapagos),,SA,-47,26,-42,25,25,25,1,
South American 1969,Guyana,,SA,-53,3,-47,9,5,5,5,
South American 1969,MEAN FOR Argentina; Bolivia; Brazil; Chile; Colombia; Ecuador; Guyana; Paraguay; Peru; Trinidad & Tobago; Venezuela,,SA,-57,1,-41,15,6,9,84,
South American 1969,Paraguay,,SA,-61,2,-33,15,15,15,4,
South American 1969,Peru,,SA,-58,0,-44,5,5,5,6,
South American 1969,Trinidad & Tobago,,SA,-45,12,-33,25,25,25,1,
South American 1969,Venezuela,,SA,-45,8,-33,3,6,3,5,
WGS 1972,Global Definition,,WD,0,0,0,-1,-1,-1,0,
WGS 1984,Global Definition,,WE,0,0,0,-1,-1,-1,0,
Indonesian 1974,Indonesia,,ID,-24,-15,5,25,25,25,1,
